地区名,センター,燃える,燃えない,プラスチック、ペットボトル,カン,ビン
南横地1区,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
南横地2区,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
南横地3区,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
南今市,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
南霞1区,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
南霞2区,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
南霞3区,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
南霞4区,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
御幸,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
宮領,坂井市環境推進課,月 木,水1,水2 水4,水2,水4
南蔵垣内,坂井市環境推進課,火 金,水1,水2 水4,水2,水4
室町,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
森町,坂井市環境推進課,火 金,水1,水2 水4,水3,水2
元新,坂井市環境推進課,火 金,水1,水2 水4,水3,水2
山岸,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
山上西,坂井市環境推進課,火 金,水1,水2 水4,水3,水2
安田新,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
山崎三ケ,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
山口,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
山竹田,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
八ッ口,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
山久保,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
矢　島,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
安　沢,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
安光,坂井市環境推進課,火 金,水1,水2 水4,水2,水4
夢咲の街,坂井市環境推進課,月 木,水1,水2 水4,水2,水4
横越,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
米納津,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
四日市,坂井市環境推進課,火 金,水1,水2 水4,水3,水2
寄永,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
四ッ屋,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
四ッ柳,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
吉政,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
与河,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
寄　安,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
寄安金戸,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
楽円,坂井市環境推進課,月 木,水1,水2 水4,水3,水4
楽間,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
竜北,坂井市環境推進課,火 金,水2 水4,水2 水4,水2 水4,水2 水4
リリータウン,坂井市環境推進課,月 金,水1,水2 水4,水2,水4
六呂瀬,坂井市環境推進課,月 木,水2 水4,水2 水4,水2 水4,水2 水4
若宮,坂井市環境推進課,月 木,水1,水2 水4,水2,水4
若宮新,坂井市環境推進課,月 木,水1,水2 水4,水2,水4
